"Rating","Size","Type.of.ownership","Industry","Sector","Revenue","Job.Category","Company.type","Headquarters.Flag","Avg.Salary"
"4.3","51 to 200 employees","Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","Engineer","Middle-age firm",TRUE,100
"3.7","201 to 500 employees","Company - Private","Travel Agencies","Travel & Tourism","-1","Senior","Middle-age firm",TRUE,105
"4.2","10000+ employees","Nonprofit Organization","Religious Organizations","Non-Profit","-1","Engineer","Traditional firm",FALSE,87
"4.3","51 to 200 employees","Company - Private","Real Estate","Real Estate","-1","Analyst","Middle-age firm",TRUE,103.5
"2.6","501 to 1000 employees","College / University","Colleges & Universities","Education","-1","Senior","Middle-age firm",TRUE,124
"3.8","1001 to 5000 employees","Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Scientist","Traditional firm",TRUE,67
"3.9","10000+ employees","Company - Private","IT Services","Information Technology","$2 to $5 billion (USD)","Engineer","Middle-age firm",FALSE,87
"4.3","201 to 500 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Engineer","Middle-age firm",FALSE,137.5
"3.8","201 to 500 employees","Company - Private","Advertising & Marketing","Business Services","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,100
"3.8","5001 to 10000 employees","Nonprofit Organization","Insurance Carriers","Insurance","$5 to $10 billion (USD)","Engineer","Traditional firm",TRUE,106.5
"3.8","1001 to 5000 employees","Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Senior","Traditional firm",TRUE,98.5
"4.8","501 to 1000 employees","Company - Private","Security Services","Business Services","$100 to $500 million (USD)","Senior","Middle-age firm",TRUE,61
"4.4","51 to 200 employees","Company - Private","Consulting","Business Services","-1","Engineer","Middle-age firm",TRUE,106.5
"3.9","51 to 200 employees","Company - Private","Internet","Information Technology","-1","Engineer","Middle-age firm",TRUE,84.5
"3.4","1001 to 5000 employees","Company - Public","Consumer Products Manufacturing","Manufacturing","$2 to $5 billion (USD)","Manager","Traditional firm",TRUE,109.5
"3.6","5001 to 10000 employees","Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Scientist","Traditional firm",FALSE,164
"3.9","10000+ employees","Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Senior","Middle-age firm",TRUE,169
"3.8","5001 to 10000 employees","Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)","Senior","Middle-age firm",FALSE,142
"3.7","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Traditional firm",FALSE,76.5
"3.8","501 to 1000 employees","Company - Private","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","Scientist","Middle-age firm",TRUE,107
"3.5","10000+ employees","Company - Public","Computer Hardware & Software","Information Technology","$10+ billion (USD)","Scientist","Middle-age firm",TRUE,171.5
"3.9","201 to 500 employees","Company - Private","Insurance Agencies & Brokerages","Insurance","-1","Senior","Middle-age firm",FALSE,96
"4.2","51 to 200 employees","Company - Private","Enterprise Software & Network Solutions","Information Technology","-1","Analyst","Middle-age firm",TRUE,142.5
"4.2","10000+ employees","Nonprofit Organization","Religious Organizations","Non-Profit","-1","Engineer","Traditional firm",FALSE,107
"3.5","1001 to 5000 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","Senior","Middle-age firm",TRUE,145
"2.9","201 to 500 employees","Nonprofit Organization","Colleges & Universities","Education","$25 to $50 million (USD)","Senior","Middle-age firm",TRUE,61.5
"2.7","51 to 200 employees","Government","Investment Banking & Asset Management","Finance","$50 to $100 million (USD)","Analyst","Traditional firm",TRUE,120
"4.4","201 to 500 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","Scientist","Middle-age firm",TRUE,62
"4","5001 to 10000 employees","Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","Senior","Middle-age firm",FALSE,150.5
"4.3","201 to 500 employees","Company - Private","Advertising & Marketing","Business Services","-1","Manager","Traditional firm",FALSE,87.5
"4.2","51 to 200 employees","Company - Public","Advertising & Marketing","Business Services","$25 to $50 million (USD)","Engineer","Middle-age firm",TRUE,71.5
"3.6","51 to 200 employees","Subsidiary or Business Segment","Department, Clothing, & Shoe Stores","Retail","$100 to $500 million (USD)","Analyst","Middle-age firm",TRUE,51.5
"3.7","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Senior","Traditional firm",FALSE,151.5
"2.8","201 to 500 employees","Company - Private","IT Services","Information Technology","-1","Senior","Middle-age firm",TRUE,77.5
"3.7","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Scientist","Traditional firm",FALSE,140
"3.3","1001 to 5000 employees","Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","Senior","Middle-age firm",FALSE,98.5
"-1","51 to 200 employees","Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","Scientist","New firm",FALSE,225
"3.7","10000+ employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Senior","Traditional firm",FALSE,161.5
"3.4","1001 to 5000 employees","Company - Public","Insurance Carriers","Insurance","$1 to $2 billion (USD)","Senior","Traditional firm",FALSE,147
"4.1","501 to 1000 employees","Company - Private","Energy","Oil, Gas, Energy & Utilities","$1 to $2 billion (USD)","Analyst","Traditional firm",TRUE,61
"2.6","501 to 1000 employees","College / University","Colleges & Universities","Education","-1","Scientist","Middle-age firm",TRUE,120
"3.2","1001 to 5000 employees","Company - Public","Lending","Finance","$500 million to $1 billion (USD)","Scientist","Middle-age firm",FALSE,124.5
"3.9","51 to 200 employees","Company - Private","Financial Analytics & Research","Finance","$50 to $100 million (USD)","Senior","Middle-age firm",TRUE,148
"4.7","51 to 200 employees","Company - Private","Aerospace & Defense","Aerospace & Defense","$25 to $50 million (USD)","Analyst","Middle-age firm",FALSE,59
"3.7","5001 to 10000 employees","Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)","Scientist","Traditional firm",TRUE,146.5
"2.9","201 to 500 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1","Scientist","Traditional firm",TRUE,91.5
"3","501 to 1000 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","-1","Senior","New firm",TRUE,133
"4.7","51 to 200 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","Scientist","Middle-age firm",TRUE,140.5
"3.7","501 to 1000 employees","Company - Private","Computer Hardware & Software","Information Technology","-1","Engineer","Traditional firm",FALSE,70.5
"3.3","10000+ employees","Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","Scientist","Middle-age firm",TRUE,84.5
"4","51 to 200 employees","Company - Private","Computer Hardware & Software","Information Technology","$5 to $10 million (USD)","Engineer","Middle-age firm",TRUE,93.5
"4.4","201 to 500 employees","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","Senior","Middle-age firm",TRUE,134.5
"3.9","201 to 500 employees","Company - Private","Internet","Information Technology","$10 to $25 million (USD)","Scientist","Middle-age firm",TRUE,181
"3.3","10000+ employees","Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","Scientist","Middle-age firm",TRUE,84.5
"4.1","51 to 200 employees","Company - Private","Internet","Information Technology","$50 to $100 million (USD)","Engineer","Middle-age firm",TRUE,205
"3.6","1001 to 5000 employees","Company - Private","Gambling","Arts, Entertainment & Recreation","$100 to $500 million (USD)","Analyst","Middle-age firm",TRUE,48.5
"2.4","501 to 1000 employees","Company - Private","Food & Beverage Manufacturing","Manufacturing","$100 to $500 million (USD)","Scientist","Traditional firm",FALSE,52.5
"2.6","501 to 1000 employees","College / University","Colleges & Universities","Education","-1","Senior","Middle-age firm",TRUE,124
"3.5","501 to 1000 employees","Nonprofit Organization","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","Manager","Middle-age firm",TRUE,64
"3","10000+ employees","Company - Private","Gas Stations","Retail","$10+ billion (USD)","Engineer","Traditional firm",TRUE,98
"3.3","501 to 1000 employees","Company - Private","Food & Beverage Manufacturing","Manufacturing","-1","Scientist","Traditional firm",TRUE,54
"2.7","201 to 500 employees","Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$25 to $50 million (USD)","Scientist","Traditional firm",TRUE,81
"3.4","1001 to 5000 employees","Company - Public","Transportation Management","Transportation & Logistics","$2 to $5 billion (USD)","Engineer","Middle-age firm",TRUE,107.5
"3.8","501 to 1000 employees","Company - Private","Logistics & Supply Chain","Transportation & Logistics","-1","Scientist","Middle-age firm",FALSE,112.5
